feature_set,model,cv_mae,mae,rmse,smape,r2,direction_accuracy_prev_hour,direction_accuracy_lag24,negative_price_precision,negative_price_recall,top10_price_mae,best_params
without_era5,catboost,41.42331018958832,19.17537029935121,26.13577580468371,0.3253920416299619,0.6982709619578531,0.6304794520547945,0.7552511415525114,0.5775862068965517,0.67,98.84394636037877,"{'iterations': 507, 'learning_rate': 0.05543004709217544, 'depth': 3, 'l2_leaf_reg': 80.72141604570638, 'random_strength': 3.05189003423438, 'bagging_temperature': 8.486957344143054}"
without_era5,xgboost,43.77333500974754,19.311971535403792,26.382508243772996,0.3162020126243003,0.692547179809406,0.6365296803652968,0.7398401826484018,0.6139817629179332,0.6733333333333333,94.3439903157552,"{'n_estimators': 866, 'learning_rate': 0.03275380008592775, 'max_depth': 3, 'min_child_weight': 18.50744522038004, 'subsample': 0.9305514548333329, 'colsample_bytree': 0.5764206596741306, 'reg_alpha': 1.3178743704317727e-05, 'reg_lambda': 0.2778751486094333}"
without_era5,elastic_net,35.199372058348736,20.45275189250489,27.715839098304027,0.3872472319333152,0.660685531229089,0.6631278538812785,0.7494292237442922,0.438034188034188,0.6833333333333333,100.84841288152188,"{'alpha': 5.1789650072162064e-05, 'l1_ratio': 0.1395379285251439, 'max_iter': 5000}"
without_era5,lightgbm,46.02255682425148,20.49376865030337,27.80134156265742,0.3242165887945633,0.65858875371127,0.6331050228310502,0.7404109589041096,0.6246498599439776,0.7433333333333333,88.8232006178216,"{'n_estimators': 2508, 'learning_rate': 0.07155764653656528, 'num_leaves': 368, 'max_depth': 3, 'min_child_samples': 169, 'subsample': 0.6994961499987146, 'colsample_bytree': 0.8358434798191415, 'reg_alpha': 0.0004110962523851855, 'reg_lambda': 15.736664182103388}"
without_era5,stacker_gbm_oof,,21.59382690170864,28.834917686387755,0.3303302222049121,0.6327314435199337,0.6004566210045662,0.7318493150684932,0.5830985915492958,0.69,85.67800979889886,"{'meta_model': 'lightgbm', 'params': {'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.03, 'max_depth': -1, 'min_child_samples': 30, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 400, 'n_jobs': 4, 'num_leaves': 7, 'objective': 'regression', 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}, 'base_models': ['elastic_net', 'xgboost', 'lightgbm', 'catboost']}"
without_era5,rnn,,21.734207567737528,30.045776179071833,0.3201815625975117,0.6012385454598279,0.5692922374429223,0.7429223744292237,0.7710280373831776,0.55,114.5438740641276,"{'lookback_hours': 168, 'hidden_size': 64, 'batch_size': 128, 'epochs': 10, 'feature_selection': 'lasso', 'feature_count': 40}"
without_era5,stacker_non_negative_weights_oof,,21.792142713945328,28.64747498949263,0.3541938131427382,0.6374908158059807,0.6114155251141552,0.7373287671232877,0.5065502183406113,0.7733333333333333,83.76318176248421,"{'weights': [0.6716081668532511, 0.32798808382131994, 0.0, 0.17528171812459659], 'intercept': -6.132988897979857, 'sum_weights': 1.1748779687991675, 'base_models': ['elastic_net', 'xgboost', 'lightgbm', 'catboost']}"
without_era5,lstm,,22.37569476718772,30.69476252790475,0.3394639209297839,0.5838260700111986,0.5909817351598173,0.7376712328767123,0.8507462686567164,0.19,123.1939951171875,"{'lookback_hours': 168, 'hidden_size': 64, 'batch_size': 128, 'epochs': 10, 'feature_selection': 'lasso', 'feature_count': 40}"
without_era5,naive_lag_24h,,27.212369863013706,40.30067524276524,0.4461429187454123,0.2825841592992554,0.6164383561643836,0.0006849315068493,0.308411214953271,0.33,134.78466666666665,{}
without_era5,seasonal_naive_lag_168h,,33.62946004566209,48.212545121462334,0.5051499073827795,-0.0267540691593817,0.6045662100456621,0.6417808219178082,0.1649484536082474,0.16,143.84133333333335,{}
